Player,QBR
Brock Purdy,72.8
Dak Prescott,72.7
Josh Allen,69.6
Lamar Jackson,64.7
Justin Herbert,64.1
Matthew Stafford,63.5
Kirk Cousins,63.2
Patrick Mahomes,63.1
Jordan Love,62.1
Tua Tagovailoa,60.8
Jared Goff,60.3
Jalen Hurts,60.1
Gardner Minshew,59.6
Geno Smith,59.5
C.J. Stroud,57.5
Derek Carr,56.5
Trevor Lawrence,56.1
Baker Mayfield,54.3
Joshua Dobbs,51.8
Joe Burrow,51.6
Russell Wilson,50.7
Kyler Murray,47.2
Justin Fields,46.1
Sam Howell,42.4
Aidan O'Connell,40.5
Desmond Ridder,40.1
Kenny Pickett,38.1
Mac Jones,36.7
Bryce Young,33.4
Zach Wilson,30.6